Time,Timestamp,Active Attention or Focus,Attention or Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1722048504.9565,2024-07-26 19:48:24.956,true,0.727356,true,0.703182,true,0.697938,true,0.820354,true,0.796165,true,0.841409
1722048505.4565,2024-07-26 19:48:25.456,true,0.710949,true,0.716059,true,0.704485,true,0.815702,true,0.793105,true,0.837194
1722048505.9565,2024-07-26 19:48:25.956,true,0.700567,true,0.732285,true,0.727356,true,0.806121,true,0.795149,true,0.83289
1722048506.4565,2024-07-26 19:48:26.456,true,0.700567,true,0.753756,true,0.739572,true,0.784781,true,0.792078,true,0.821273
1722048506.9565,2024-07-26 19:48:26.956,true,0.700567,true,0.75951,true,0.745546,true,0.774037,true,0.788973,true,0.811914
1722048507.4565,2024-07-26 19:48:27.456,true,0.696619,true,0.779456,true,0.76065,true,0.75951,true,0.785834,true,0.799191
1722048507.9565,2024-07-26 19:48:27.956,true,0.692641,true,0.784781,true,0.780528,true,0.74791,true,0.777299,true,0.780528
1722048508.4565,2024-07-26 19:48:28.456,true,0.709663,true,0.803173,true,0.780528,true,0.726114,true,0.777299,true,0.769634
1722048508.9565,2024-07-26 19:48:28.956,true,0.712232,true,0.808067,true,0.785834,true,0.709663,true,0.768524,true,0.745546
1722048509.4565,2024-07-26 19:48:29.456,true,0.708373,true,0.812867,true,0.794129,true,0.692641,true,0.762918,true,0.739572
1722048509.9565,2024-07-26 19:48:29.956,true,0.731058,true,0.824913,true,0.802183,true,0.685949,true,0.74791,true,0.717328
1722048510.4565,2024-07-26 19:48:30.456,true,0.733509,true,0.824913,true,0.797178,true,0.668187,true,0.751429,true,0.696619
1722048510.9565,2024-07-26 19:48:30.956,true,0.749087,true,0.824913,true,0.800192,true,0.668187,true,0.739572,true,0.689974
1722048511.4565,2024-07-26 19:48:31.456,true,0.751429,true,0.817574,true,0.795149,true,0.65701,true,0.733509,true,0.679178
1722048511.9565,2024-07-26 19:48:31.956,true,0.75722,true,0.820354,true,0.798186,true,0.65701,true,0.721115,true,0.668187
1722048512.4565,2024-07-26 19:48:32.456,true,0.771843,true,0.808067,true,0.787931,true,0.652772,true,0.708373,true,0.664017
1722048512.9565,2024-07-26 19:48:32.956,true,0.777299,true,0.810958,true,0.791047,true,0.670953,true,0.712232,true,0.670953
1722048513.4565,2024-07-26 19:48:33.456,true,0.785834,true,0.793105,true,0.780528,true,0.673707,true,0.709663,true,0.6668
1722048513.9565,2024-07-26 19:48:33.956,true,0.785834,true,0.779456,true,0.775128,true,0.680539,true,0.703182,true,0.662621
1722048514.4565,2024-07-26 19:48:34.456,true,0.802183,true,0.768524,true,0.754914,true,0.704485,true,0.696619,true,0.676448
1722048514.9565,2024-07-26 19:48:34.956,true,0.797178,true,0.75722,true,0.758367,true,0.710949,true,0.700567,true,0.672331
1722048515.4565,2024-07-26 19:48:35.456,true,0.808067,true,0.751429,true,0.752594,true,0.733509,true,0.710949,true,0.696619
1722048515.9565,2024-07-26 19:48:35.956,true,0.810958,true,0.729827,true,0.737158,true,0.739572,true,0.710949,true,0.703182
1722048516.4565,2024-07-26 19:48:36.456,true,0.80119,true,0.723622,true,0.731058,true,0.769634,true,0.721115,true,0.716059
1722048516.9565,2024-07-26 19:48:36.956,true,0.811914,true,0.717328,true,0.731058,true,0.775128,true,0.727356,true,0.732285
1722048517.4565,2024-07-26 19:48:37.456,true,0.809998,true,0.710949,true,0.731058,true,0.797178,true,0.743168,true,0.738367
1722048517.9565,2024-07-26 19:48:37.956,true,0.812867,true,0.710949,true,0.727356,true,0.802183,true,0.749087,true,0.753756
1722048518.4565,2024-07-26 19:48:38.456,true,0.810958,true,0.700567,true,0.727356,true,0.817574,true,0.76065,true,0.768524
1722048518.9565,2024-07-26 19:48:38.956,true,0.826114,true,0.727769,true,0.7553,true,0.836625,true,0.780885,true,0.791391
1722048519.4565,2024-07-26 19:48:39.456,true,0.824311,true,0.733916,true,0.761029,true,0.843345,true,0.799525,true,0.799525
1722048519.9565,2024-07-26 19:48:39.956,true,0.819739,true,0.749478,true,0.757603,true,0.845806,true,0.804487,true,0.802514
1722048520.4565,2024-07-26 19:48:40.456,true,0.82701,true,0.7553,true,0.77766,true,0.848236,true,0.806446,true,0.810318
1722048520.9565,2024-07-26 19:48:40.956,true,0.822493,true,0.766666,true,0.779814,true,0.856876,true,0.818814,true,0.813184
1722048521.4565,2024-07-26 19:48:41.456,true,0.829676,true,0.780885,true,0.785132,true,0.855336,true,0.820661,true,0.811277
1722048521.9565,2024-07-26 19:48:41.956,true,0.829676,true,0.799525,true,0.795488,true,0.851426,true,0.825214,true,0.821579
1722048522.4565,2024-07-26 19:48:42.456,true,0.834046,true,0.812232,true,0.800525,true,0.849838,true,0.825214,true,0.819739
1722048522.9565,2024-07-26 19:48:42.956,true,0.838327,true,0.821579,true,0.813184,true,0.848236,true,0.822493,true,0.817884
1722048523.4565,2024-07-26 19:48:43.456,true,0.835769,true,0.833179,true,0.817884,true,0.850634,true,0.822493,true,0.820661
1722048523.9565,2024-07-26 19:48:43.956,true,0.840014,true,0.848236,true,0.822493,true,0.842517,true,0.822493,true,0.826114
1722048524.4565,2024-07-26 19:48:44.456,true,0.841686,true,0.858402,true,0.829676,true,0.838327,true,0.817884,true,0.821579
1722048524.9565,2024-07-26 19:48:44.956,true,0.845806,true,0.862158,true,0.836625,true,0.834046,true,0.805469,true,0.824311
1722048525.4565,2024-07-26 19:48:45.456,true,0.840852,true,0.867993,true,0.832309,true,0.829676,true,0.800525,true,0.82701
1722048525.9565,2024-07-26 19:48:45.956,true,0.842517,true,0.873617,true,0.839172,true,0.829676,true,0.795488,true,0.822493
1722048526.4565,2024-07-26 19:48:46.456,true,0.840014,true,0.879036,true,0.841686,true,0.822493,true,0.776577,true,0.822493
1722048526.9565,2024-07-26 19:48:46.956,true,0.841686,true,0.870127,true,0.833179,true,0.822493,true,0.779814,true,0.822493
1722048527.4565,2024-07-26 19:48:47.456,true,0.839172,true,0.872231,true,0.835769,true,0.819739,true,0.759891,true,0.834046
1722048527.9565,2024-07-26 19:48:47.956,true,0.825214,true,0.868708,true,0.834046,true,0.816952,true,0.757603,true,0.82701
