Time,Timestamp,Pleasure,Arousal,Dominance
1722054624.1949,2024-07-26 21:30:24.194,0.92,-0.19,0.35
1722054624.6949,2024-07-26 21:30:24.694,0.92,-0.19,0.35
1722054625.1949,2024-07-26 21:30:25.194,0.92,-0.19,0.35
1722054625.6949,2024-07-26 21:30:25.694,0.92,-0.18,0.34
1722054626.1949,2024-07-26 21:30:26.194,0.92,-0.18,0.34
1722054626.6949,2024-07-26 21:30:26.694,0.92,-0.18,0.34
1722054627.1949,2024-07-26 21:30:27.194,0.93,-0.18,0.33
1722054627.6949,2024-07-26 21:30:27.694,0.92,-0.18,0.33
1722054628.1949,2024-07-26 21:30:28.194,0.93,-0.17,0.33
1722054628.6949,2024-07-26 21:30:28.694,0.93,-0.18,0.33
1722054629.1949,2024-07-26 21:30:29.194,0.92,-0.18,0.34
1722054629.6949,2024-07-26 21:30:29.694,0.92,-0.18,0.34
1722054630.1949,2024-07-26 21:30:30.194,0.92,-0.18,0.34
1722054630.6949,2024-07-26 21:30:30.694,0.92,-0.19,0.35
1722054631.1949,2024-07-26 21:30:31.194,0.92,-0.19,0.34
1722054631.6949,2024-07-26 21:30:31.694,0.92,-0.19,0.35
1722054632.1949,2024-07-26 21:30:32.194,0.92,-0.20,0.35
1722054632.6949,2024-07-26 21:30:32.694,0.91,-0.20,0.35
1722054633.1949,2024-07-26 21:30:33.194,0.91,-0.21,0.35
1722054633.6949,2024-07-26 21:30:33.694,0.91,-0.20,0.35
1722054634.1949,2024-07-26 21:30:34.194,0.91,-0.21,0.35
1722054634.6949,2024-07-26 21:30:34.694,0.91,-0.21,0.35
1722054635.1949,2024-07-26 21:30:35.194,0.91,-0.21,0.35
1722054635.6949,2024-07-26 21:30:35.694,0.91,-0.21,0.35
1722054636.1949,2024-07-26 21:30:36.194,0.91,-0.21,0.36
1722054636.6949,2024-07-26 21:30:36.694,0.91,-0.21,0.35
1722054637.1949,2024-07-26 21:30:37.194,0.91,-0.21,0.35
1722054637.6949,2024-07-26 21:30:37.694,0.91,-0.21,0.35
1722054638.1949,2024-07-26 21:30:38.194,0.91,-0.21,0.35
1722054638.6949,2024-07-26 21:30:38.694,0.91,-0.21,0.35
1722054639.1949,2024-07-26 21:30:39.194,0.92,-0.20,0.35
1722054639.6949,2024-07-26 21:30:39.694,0.92,-0.20,0.35
1722054640.1949,2024-07-26 21:30:40.194,0.92,-0.20,0.34
1722054640.6949,2024-07-26 21:30:40.694,0.92,-0.20,0.34
1722054641.1949,2024-07-26 21:30:41.194,0.92,-0.19,0.34
1722054641.6949,2024-07-26 21:30:41.694,0.92,-0.19,0.34
1722054642.1949,2024-07-26 21:30:42.194,0.92,-0.19,0.34
1722054642.6949,2024-07-26 21:30:42.694,0.92,-0.18,0.34
1722054643.1949,2024-07-26 21:30:43.194,0.92,-0.18,0.34
1722054643.6949,2024-07-26 21:30:43.694,0.92,-0.18,0.34
1722054644.1949,2024-07-26 21:30:44.194,0.92,-0.18,0.34
1722054644.6949,2024-07-26 21:30:44.694,0.92,-0.17,0.34
1722054645.1949,2024-07-26 21:30:45.194,0.92,-0.18,0.34
1722054645.6949,2024-07-26 21:30:45.694,0.92,-0.18,0.34
1722054646.1949,2024-07-26 21:30:46.194,0.92,-0.18,0.35
1722054646.6949,2024-07-26 21:30:46.694,0.92,-0.19,0.35
1722054647.1949,2024-07-26 21:30:47.194,0.92,-0.19,0.35
1722054647.6949,2024-07-26 21:30:47.694,0.92,-0.20,0.35
1722054648.1949,2024-07-26 21:30:48.194,0.91,-0.20,0.36
